Date/Time,PM10 BAM ug/m3,PM2.5 BAM ug/m3,Temperature Deg C,Barometric Pressure atm
1/07/2014 0:10,4.8,5.5,11.4,1.009
1/07/2014 0:20,11.4,11.2,11.3,1.009
1/07/2014 0:30,21.3,7.6,11.3,1.009
1/07/2014 0:40,18.2,11.8,11.3,1.01
1/07/2014 0:50,10.2,10.5,11.3,1.01
1/07/2014 1:00,14,10.6,11.2,1.009
1/07/2014 1:10,11.1,10,11.2,1.009
1/07/2014 1:20,11,6.6,11.3,1.009
1/07/2014 1:30,11.3,6.5,11.4,1.009
1/07/2014 1:40,12.2,6.9,11.3,1.009
1/07/2014 1:50,18.1,7.7,11.4,1.009
1/07/2014 2:00,18.5,12.4,11.3,1.01
1/07/2014 2:10,8.1,12.9,11.3,1.01
1/07/2014 2:20,12.5,13.6,11.2,1.01
1/07/2014 2:30,9.7,11.5,11.2,1.009
1/07/2014 2:40,12.5,12.5,11.2,1.01
1/07/2014 2:50,11.8,10.5,11.2,1.01
1/07/2014 3:00,12.1,10.6,11.1,1.009
1/07/2014 3:10,16.7,9.6,11,1.009
1/07/2014 3:20,17,8.8,10.8,1.01
1/07/2014 3:30,16.6,8.4,10.9,1.009
1/07/2014 3:40,16.5,8.4,10.9,1.01
1/07/2014 3:50,,7.3,10.9,1.009
1/07/2014 4:00,14,13,10.9,1.009
1/07/2014 4:10,18,13.1,10.8,1.009
1/07/2014 4:20,19.1,10.2,10.8,1.01
1/07/2014 4:30,16.8,3.3,10.8,1.01
1/07/2014 4:40,17.2,4.9,10.7,1.01
1/07/2014 4:50,13.5,4.9,10.4,1.01
1/07/2014 5:00,15.4,6,10.3,1.01
1/07/2014 5:10,9.4,7.1,10.3,1.01
1/07/2014 5:20,10.1,8.6,10.3,1.01
1/07/2014 5:30,6,8.6,10.3,1.01
1/07/2014 5:40,4,11.7,10.2,1.01
1/07/2014 5:50,5.3,7.2,10.2,1.01
1/07/2014 6:00,8.9,6.6,10.2,1.01
1/07/2014 6:10,3.9,2.8,10.3,1.01
1/07/2014 6:20,-0.6,3.8,10.2,1.01
1/07/2014 6:30,5,1.6,10.1,1.01
1/07/2014 6:40,3.8,-0.1,10,1.01
1/07/2014 6:50,0.1,2.8,10,1.01
1/07/2014 7:00,6.2,2,10,1.01
1/07/2014 7:10,12.1,1,9.9,1.01
1/07/2014 7:20,11.3,1.9,9.8,1.01
1/07/2014 7:30,6.5,8.8,9.7,1.01
1/07/2014 7:40,10.6,15.9,9.8,1.011
1/07/2014 7:50,14,11.7,10.1,1.011
1/07/2014 8:00,13.8,4.4,10.3,1.011
1/07/2014 8:10,14.8,5.6,10.5,1.011
1/07/2014 8:20,5.8,8,10.8,1.011
1/07/2014 8:30,8,6.5,10.9,1.011
1/07/2014 8:40,11.3,1,11,1.011
1/07/2014 8:50,15.6,3.6,10.9,1.011
1/07/2014 9:00,14.6,4.3,11.1,1.011
1/07/2014 9:10,16.5,1.1,11.2,1.011
1/07/2014 9:20,15.8,7.3,11.1,1.011
1/07/2014 9:30,14.1,5.3,11.3,1.011
1/07/2014 9:40,12.3,4,11.4,1.012
1/07/2014 9:50,18.4,7.7,11.4,1.011
1/07/2014 10:00,21.6,5.8,11.5,1.012
1/07/2014 10:10,20.6,1.7,11.8,1.012
1/07/2014 10:20,17.3,-0.1,12,1.012
1/07/2014 10:30,18.4,0.2,12.1,1.012
1/07/2014 10:40,20.4,5.8,12,1.012
1/07/2014 10:50,16.4,12.5,12,1.012
1/07/2014 11:00,17,9.3,12.1,1.012
1/07/2014 11:10,13.2,6.3,12.2,1.012
1/07/2014 11:20,11.2,5.3,12.4,1.012
1/07/2014 11:30,7.4,5.7,12.6,1.012
1/07/2014 11:40,7.8,2.3,13,1.012
1/07/2014 11:50,4.2,4.4,12.8,1.012
1/07/2014 12:00,8.2,7.2,13,1.012
1/07/2014 12:10,6.8,9.5,13.1,1.012
1/07/2014 12:20,4,7.5,13.4,1.011
1/07/2014 12:30,5.5,2,13.8,1.011
1/07/2014 12:40,8.2,0.1,14.4,1.011
1/07/2014 12:50,10.4,4.8,15.2,1.011
1/07/2014 13:00,7.1,10.9,15,1.011
1/07/2014 13:10,10.8,12.5,15,1.011
1/07/2014 13:20,17.3,11.9,14.8,1.011
1/07/2014 13:30,19.1,8.7,15.2,1.011
1/07/2014 13:40,16.6,9.1,16.4,1.011
1/07/2014 13:50,19.4,5.1,16.5,1.011
1/07/2014 14:00,20.4,5.1,16.7,1.01
1/07/2014 14:10,16,8,16.2,1.01
1/07/2014 14:20,15.8,11.1,15.8,1.01
1/07/2014 14:30,21.6,13.5,15.6,1.01
1/07/2014 14:40,25.2,14.3,15.8,1.011
1/07/2014 14:50,24.4,14.1,15.6,1.011
1/07/2014 15:00,26.8,11.4,16,1.011
1/07/2014 15:10,24.6,9.9,16.2,1.011
1/07/2014 15:20,22,12.1,16.1,1.011
1/07/2014 15:30,17.8,8.2,15.8,1.011
1/07/2014 15:40,11.6,8.2,15.1,1.011
1/07/2014 15:50,14.4,9.9,14.7,1.011
1/07/2014 16:00,22.1,10.3,14.6,1.011
1/07/2014 16:10,23,8.1,14.7,1.011
1/07/2014 16:20,19.8,5,14.6,1.011
1/07/2014 16:30,14.9,4.1,14.5,1.011
1/07/2014 16:40,19.1,3.2,14.3,1.011
1/07/2014 16:50,20.6,2,14.3,1.011
1/07/2014 17:00,19,2.8,14.4,1.011
1/07/2014 17:10,15.9,6.1,14.5,1.011
1/07/2014 17:20,22.9,5.4,14.2,1.011
1/07/2014 17:30,20.8,1.3,14.2,1.011
1/07/2014 17:40,14.1,4.2,14.1,1.011
1/07/2014 17:50,24,4.5,14.1,1.011
1/07/2014 18:00,19.9,8.3,14,1.011
1/07/2014 18:10,15,6,13.7,1.011
1/07/2014 18:20,17.1,10.9,13.7,1.011
1/07/2014 18:30,21,10.1,13.8,1.011
1/07/2014 18:40,18.6,9.7,13.6,1.011
1/07/2014 18:50,22.8,12.3,13.5,1.011
1/07/2014 19:00,23.2,1.9,13.5,1.011
1/07/2014 19:10,22,1.2,13.4,1.011
1/07/2014 19:20,17.9,10.5,13.3,1.011
1/07/2014 19:30,9,12.5,13.1,1.011
1/07/2014 19:40,10.8,10,13.1,1.011
1/07/2014 19:50,14.9,6.4,13,1.011
1/07/2014 20:00,13.1,8,12.7,1.011
1/07/2014 20:10,16.7,14.3,12.5,1.011
1/07/2014 20:20,18.3,17.1,12.3,1.011
1/07/2014 20:30,22.1,20.2,12.3,1.011
1/07/2014 20:40,27.5,20.8,12.3,1.012
1/07/2014 20:50,32.3,21.8,12.4,1.012
1/07/2014 21:00,29.5,14.9,12.4,1.012
1/07/2014 21:10,28.7,12.4,12.4,1.012
1/07/2014 21:20,23.9,19.8,12.3,1.012
1/07/2014 21:30,23,18.6,12.2,1.012
1/07/2014 21:40,25.2,,12.2,1.012
1/07/2014 21:50,26.3,16.5,12.1,1.012
1/07/2014 22:00,27.7,18.5,12,1.012
1/07/2014 22:10,24.8,17.6,12.1,1.012
1/07/2014 22:20,19.7,17.1,12,1.012
1/07/2014 22:30,17.6,14.2,11.8,1.012
1/07/2014 22:40,20.2,13.7,11.8,1.012
1/07/2014 22:50,21.2,6.9,11.9,1.012
1/07/2014 23:00,19.9,5.3,11.9,1.012
1/07/2014 23:10,11.7,7.1,11.7,1.012
1/07/2014 23:20,14.3,7.9,11.6,1.012
1/07/2014 23:30,19.7,9.3,11.6,1.012
1/07/2014 23:40,19.8,12.3,11.6,1.012
1/07/2014 23:50,14.7,8.8,11.7,1.012
2/07/2014 0:00,18.9,4.5,11.7,1.012
2/07/2014 0:10,18.6,6.6,11.8,1.012
2/07/2014 0:20,23.9,11.3,11.9,1.012
2/07/2014 0:30,21.7,11.8,11.9,1.012
2/07/2014 0:40,23.9,9.5,11.8,1.012
2/07/2014 0:50,19,6.6,11.8,1.012
2/07/2014 1:00,15.5,6.1,11.7,1.011
2/07/2014 1:10,14,9.2,11.6,1.011
2/07/2014 1:20,8.4,8.7,11.5,1.011
2/07/2014 1:30,12.8,3.7,11.4,1.011
2/07/2014 1:40,8.6,4.8,11.2,1.011
2/07/2014 1:50,12.2,3.7,11.2,1.011
2/07/2014 2:00,12.1,6.4,11.2,1.011
2/07/2014 2:10,10.5,11.1,11.2,1.011
2/07/2014 2:20,4.1,10.1,11.3,1.011
2/07/2014 2:30,7.5,12.6,11.4,1.011
2/07/2014 2:40,14.1,10.7,11.5,1.011
2/07/2014 2:50,16.5,6.5,11.6,1.011
2/07/2014 3:00,15.1,8.7,11.7,1.011
2/07/2014 3:10,11.4,6,11.8,1.011
2/07/2014 3:20,7.8,8.3,11.9,1.011
2/07/2014 3:30,6.2,8.9,11.9,1.011
2/07/2014 3:40,5.2,7,11.9,1.011
2/07/2014 3:50,5.9,6.3,11.9,1.01
2/07/2014 4:00,2.8,0.3,11.9,1.01
2/07/2014 4:10,5.8,-1.3,11.8,1.01
2/07/2014 4:20,7.8,3.3,11.6,1.01
2/07/2014 4:30,11,3.3,11.6,1.01
2/07/2014 4:40,13.7,4.7,11.7,1.01
2/07/2014 4:50,13.9,7.1,11.7,1.01
2/07/2014 5:00,12.5,10.6,11.7,1.01
2/07/2014 5:10,13.6,8.3,11.6,1.01
2/07/2014 5:20,13.6,7,11.6,1.01
2/07/2014 5:30,12.3,7.7,11.5,1.01
2/07/2014 5:40,10.8,6.6,11.3,1.01
2/07/2014 5:50,9.1,5.2,11.2,1.01
2/07/2014 6:00,9,9.6,11.2,1.01
2/07/2014 6:10,3.3,7.7,11.1,1.01
2/07/2014 6:20,5.1,13.1,11,1.01
2/07/2014 6:30,8.9,9.7,11,1.01
2/07/2014 6:40,9.2,6.8,11,1.011
2/07/2014 6:50,12.9,5.3,11,1.011
2/07/2014 7:00,14.3,8.2,11.1,1.011
2/07/2014 7:10,15.3,7.9,11.1,1.011
2/07/2014 7:20,16.4,10.8,11.1,1.011
2/07/2014 7:30,13,9.1,11.1,1.011
2/07/2014 7:40,11.5,6.7,11.1,1.011
2/07/2014 7:50,14,9.2,11.2,1.011
2/07/2014 8:00,19.4,9.7,11.3,1.011
2/07/2014 8:10,21.7,5.9,11.2,1.011
2/07/2014 8:20,17,9.4,11.3,1.011
2/07/2014 8:30,19.1,9,11.6,1.011
2/07/2014 8:40,24.5,8.7,12,1.011
2/07/2014 8:50,21.6,13.1,12.2,1.011
2/07/2014 9:00,11,11.5,12.2,1.011
2/07/2014 9:10,11.2,19,12.1,1.011
2/07/2014 9:20,14.5,12.4,12.1,1.011
2/07/2014 9:30,16.5,5.8,12.4,1.011
2/07/2014 9:40,15.9,5.2,14.1,1.011
2/07/2014 9:50,13.1,-0.7,15.2,1.011
2/07/2014 10:00,9.3,-4.5,15.8,1.011
2/07/2014 10:10,3.9,,16.8,1.011
2/07/2014 10:20,5.5,,16.7,1.011
2/07/2014 10:30,3.2,-1.4,16.3,1.011
2/07/2014 10:40,1.2,-3.6,16.8,1.011
2/07/2014 10:50,2.8,4.3,17.2,1.011
2/07/2014 11:00,6.1,6.2,17.4,1.01
2/07/2014 11:10,9.2,9.5,17.2,1.01
2/07/2014 11:20,16.4,8.5,17.6,1.01
2/07/2014 11:30,18,7.4,17.1,1.01
2/07/2014 11:40,18.8,13.5,17.5,1.01
2/07/2014 11:50,19.1,17.6,17,1.01
2/07/2014 12:00,19.5,18,16.7,1.01
2/07/2014 12:10,22.3,16.7,17.1,1.01
2/07/2014 12:20,24.1,13.5,17.6,1.009
2/07/2014 12:30,20.2,12.4,17.5,1.009
2/07/2014 12:40,18.2,13.4,17.6,1.009
2/07/2014 12:50,13.4,15.9,17.5,1.009
2/07/2014 13:00,20.4,15.7,17.1,1.009
2/07/2014 13:10,19.3,11.3,17.4,1.009
2/07/2014 13:20,16.8,7.9,17.4,1.009
2/07/2014 13:30,11.2,8.9,17.5,1.009
2/07/2014 13:40,11.6,15.3,17.9,1.008
2/07/2014 13:50,16.7,12.6,18.3,1.008
2/07/2014 14:00,21.8,7.6,17.8,1.008
2/07/2014 14:10,20.1,4.2,16.5,1.008
2/07/2014 14:20,21.9,6.5,17.2,1.008
2/07/2014 14:30,14.3,0,18.1,1.008
2/07/2014 14:40,5.5,-1.3,17.6,1.008
2/07/2014 14:50,0.6,0,16.7,1.008
2/07/2014 15:00,4.9,2.9,16.8,1.008
2/07/2014 15:10,9.9,6.2,16.4,1.007
2/07/2014 15:20,9.9,7.6,16.8,1.007
2/07/2014 15:30,14.5,0.4,16.5,1.007
2/07/2014 15:40,16.2,1.3,16,1.007
2/07/2014 15:50,16.9,5.8,16.3,1.007
2/07/2014 16:00,12,-0.4,16.1,1.007
2/07/2014 16:10,14.6,-1,15.3,1.007
2/07/2014 16:20,20.6,1.4,15,1.007
2/07/2014 16:30,19.5,6.1,14.9,1.007
2/07/2014 16:40,16.1,4.5,14.8,1.007
2/07/2014 16:50,11.6,2.6,14.9,1.007
2/07/2014 17:00,10.3,2.8,14.7,1.007
2/07/2014 17:10,14.1,7.4,14.6,1.007
2/07/2014 17:20,14.6,8.2,14.4,1.007
2/07/2014 17:30,10.6,8.8,14.2,1.007
2/07/2014 17:40,16.7,6.5,14.1,1.007
2/07/2014 17:50,29,2.8,13.9,1.007
2/07/2014 18:00,27.3,0.9,13.9,1.007
2/07/2014 18:10,21.8,11.4,13.8,1.007
2/07/2014 18:20,25.1,10.9,13.7,1.007
2/07/2014 18:30,26.9,8.3,13.6,1.007
2/07/2014 18:40,28.8,9.3,13.1,1.007
2/07/2014 18:50,37.6,7.8,12.5,1.007
2/07/2014 19:00,35.6,9.9,12,1.007
2/07/2014 19:10,28.6,13.7,11.7,1.007
2/07/2014 19:20,23.8,14.7,11.4,1.007
