Date/Time,PM10 BAM ug/m3,PM2.5 BAM ug/m3,Temperature Deg C,Barometric Pressure atm
1/12/2015 1:00,12.6,,13.7,0.988
1/12/2015 2:00,18,-1.9,13.3,0.988
1/12/2015 3:00,13.6,4.4,13,0.988
1/12/2015 4:00,27.8,12.7,12.7,0.989
1/12/2015 5:00,38.3,14.4,12.4,0.989
1/12/2015 6:00,36.9,19.9,12.5,0.989
1/12/2015 7:00,32.3,5.3,14.2,0.99
1/12/2015 8:00,20.4,,15.1,0.991
1/12/2015 9:00,14.7,,14.7,0.992
1/12/2015 10:00,8.3,5.8,15.4,0.992
1/12/2015 11:00,4.7,1.2,12.7,0.993
1/12/2015 12:00,12.2,6.4,14.3,0.993
1/12/2015 13:00,38.2,16.8,14.7,0.993
1/12/2015 14:00,43.8,15.3,13.9,0.994
1/12/2015 15:00,22.1,5,13.9,0.994
1/12/2015 16:00,27.2,11.9,14.4,0.995
1/12/2015 17:00,28.9,13.2,13.6,0.996
1/12/2015 18:00,20,9.5,13.4,0.996
1/12/2015 19:00,23.2,7.5,12.4,0.998
1/12/2015 20:00,18.9,7,11.6,0.999
1/12/2015 21:00,17.6,4.7,11.1,1
1/12/2015 22:00,19.5,9.3,10,1.001
1/12/2015 23:00,20.9,5.5,9.4,1.001
2/12/2015 0:00,13.1,2.9,8.6,1.001
2/12/2015 1:00,7.6,8.4,8.2,1.001
2/12/2015 2:00,12.9,5.3,7.6,1.001
2/12/2015 3:00,6.3,5.5,7.1,1.001
2/12/2015 4:00,8.8,3.7,6.9,1.001
2/12/2015 5:00,17.7,2.7,7.1,1.002
2/12/2015 6:00,22,5.9,7.6,1.002
2/12/2015 7:00,22,6.4,9.9,1.003
2/12/2015 8:00,22.4,,14.1,1.003
2/12/2015 9:00,19,8.2,15.1,1.004
2/12/2015 10:00,16.3,5.3,16.3,1.004
2/12/2015 11:00,26.5,9.1,16.8,1.005
2/12/2015 12:00,22.7,6.5,16.9,1.005
2/12/2015 13:00,18.7,2.1,16.8,1.005
2/12/2015 14:00,22.4,3.6,15.2,1.004
2/12/2015 15:00,23,7.6,15,1.004
2/12/2015 16:00,25.6,7,15.1,1.004
2/12/2015 17:00,23.2,9.3,15.2,1.003
2/12/2015 18:00,23.7,7.4,14.9,1.004
2/12/2015 19:00,19.6,8.3,14.7,1.004
2/12/2015 20:00,27.1,8.8,13,1.004
2/12/2015 21:00,17.9,7.2,11.7,1.005
2/12/2015 22:00,16.9,4.1,11.2,1.005
2/12/2015 23:00,15.4,-0.3,10.9,1.005
3/12/2015 0:00,13.5,5.7,10.7,1.004
3/12/2015 1:00,24.3,17.9,10.4,1.004
3/12/2015 2:00,17.9,10,9.8,1.004
3/12/2015 3:00,14.9,4.2,9.7,1.004
3/12/2015 4:00,15.1,5.4,9.5,1.004
3/12/2015 5:00,15.2,0.7,9,1.004
3/12/2015 6:00,11.4,6.1,9.2,1.004
3/12/2015 7:00,11.4,4.3,12.6,1.004
3/12/2015 8:00,4.2,,17.3,1.005
3/12/2015 9:00,4.8,,19.8,1.004
3/12/2015 10:00,7.8,-2,23.1,1.004
3/12/2015 11:00,5.7,0,26.2,1.003
3/12/2015 12:00,17.8,5.5,25.3,1.003
3/12/2015 13:00,34.4,11.8,23.8,1.002
3/12/2015 14:00,45.2,12.5,21.5,1.002
3/12/2015 15:00,26.7,7,21.6,1.001
3/12/2015 16:00,18.8,4.5,22.2,1
3/12/2015 17:00,19.5,1.3,22.3,1
3/12/2015 18:00,21.5,4.7,22.6,0.999
3/12/2015 19:00,28.2,6.9,22.1,0.999
3/12/2015 20:00,30.6,7.2,19.9,0.999
3/12/2015 21:00,17.2,9.3,18.4,0.999
3/12/2015 22:00,16.8,4.8,18,0.999
3/12/2015 23:00,13.4,6,18,0.999
4/12/2015 0:00,15,3.8,17.6,0.999
4/12/2015 1:00,17.9,1.4,17.1,0.998
4/12/2015 2:00,17.1,6,16.8,0.997
4/12/2015 3:00,9.7,5.2,17.1,0.997
4/12/2015 4:00,9.3,0.2,17.4,0.997
4/12/2015 5:00,15.2,2.2,17.4,0.997
4/12/2015 6:00,16,6.6,17.1,0.998
4/12/2015 7:00,13.3,4.8,20.1,0.998
4/12/2015 8:00,11.4,-2.1,25.5,0.999
4/12/2015 9:00,13.2,4,28.4,0.998
4/12/2015 10:00,24.5,6.5,29.8,0.998
4/12/2015 11:00,16.8,3.8,33.4,0.997
4/12/2015 12:00,18.2,2.6,32.4,0.996
4/12/2015 13:00,22.8,4.6,30.7,0.996
4/12/2015 14:00,32.1,8.8,28.7,0.995
4/12/2015 15:00,34.5,9.9,27.9,0.994
4/12/2015 16:00,31.1,6.2,29.1,0.994
4/12/2015 17:00,31.2,11.7,29.1,0.993
4/12/2015 18:00,28.5,8.3,29.3,0.992
4/12/2015 19:00,18.5,5.4,27.8,0.993
4/12/2015 20:00,15.4,7.7,25.3,0.993
4/12/2015 21:00,4.5,5.8,23.8,0.993
4/12/2015 22:00,6.5,5,23.1,0.993
4/12/2015 23:00,7.3,-0.3,23.2,0.993
5/12/2015 0:00,10,2.6,23.4,0.993
5/12/2015 1:00,16.8,4.5,23.8,0.992
5/12/2015 2:00,16.5,3.7,23.8,0.992
5/12/2015 3:00,15.6,2.5,23.3,0.992
5/12/2015 4:00,12.4,7,22.9,0.992
5/12/2015 5:00,17.3,5.1,23.7,0.992
5/12/2015 6:00,17.3,2.3,23.4,0.992
5/12/2015 7:00,15.7,6,26.1,0.993
5/12/2015 8:00,19.4,0.9,30.7,0.993
5/12/2015 9:00,17.1,,34.1,0.993
5/12/2015 10:00,10.3,5.5,36.8,0.993
5/12/2015 11:00,8.3,0.5,38.5,0.992
5/12/2015 12:00,16.5,2.7,37.9,0.991
5/12/2015 13:00,38.8,7.2,34.8,0.991
5/12/2015 14:00,32.5,9.5,33.5,0.991
5/12/2015 15:00,22.6,3.5,33.1,0.99
5/12/2015 16:00,16.8,5.7,33.3,0.989
5/12/2015 17:00,11.4,,33.4,0.989
5/12/2015 18:00,7.8,,33,0.989
5/12/2015 19:00,13.1,4.7,32.1,0.99
5/12/2015 20:00,26.3,9.2,29.3,0.99
5/12/2015 21:00,18.9,5.2,28.3,0.99
5/12/2015 22:00,10.8,8.6,28.2,0.99
5/12/2015 23:00,14.7,4.6,27.9,0.99
6/12/2015 0:00,11.7,,28.2,0.99
6/12/2015 1:00,25,13.1,27.5,0.989
6/12/2015 2:00,20.9,10,26.8,0.989
6/12/2015 3:00,16.7,8.2,26.6,0.988
6/12/2015 4:00,19.2,4.3,27.6,0.988
6/12/2015 5:00,10.9,5.9,27.2,0.988
6/12/2015 6:00,14.8,5.9,26.1,0.989
6/12/2015 7:00,12.8,4.3,28,0.989
6/12/2015 8:00,13.3,-0.9,30.9,0.99
6/12/2015 9:00,13.8,,34.5,0.99
6/12/2015 10:00,65.7,6.9,35,0.989
6/12/2015 11:00,117.7,18.5,34.7,0.989
6/12/2015 12:00,81.2,12.2,36.4,0.989
6/12/2015 13:00,49.9,8,36.7,0.988
6/12/2015 14:00,34.5,5.4,35.6,0.987
6/12/2015 15:00,37.7,8.6,34.6,0.986
6/12/2015 16:00,25.4,7.1,34.6,0.986
6/12/2015 17:00,16.6,13.4,32,0.986
6/12/2015 18:00,16.8,8.8,30.3,0.986
6/12/2015 19:00,26.1,12.3,29.7,0.986
6/12/2015 20:00,24.4,1.9,29.8,0.986
6/12/2015 21:00,28,5.3,29.9,0.986
6/12/2015 22:00,27.6,6.5,30.3,0.986
6/12/2015 23:00,35.8,6.1,30.2,0.986
7/12/2015 0:00,26.1,4,29.8,0.986
7/12/2015 1:00,28.4,5.5,29.6,0.985
