"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/01/2017 1:00 AM,11.4,,18.6,0.991
1/01/2017 2:00 AM,6.7,6.1,17.9,0.990
1/01/2017 3:00 AM,8.1,-0.9,17.6,0.991
1/01/2017 4:00 AM,8.2,8.3,17.7,0.991
1/01/2017 5:00 AM,6.6,4.1,17.8,0.992
1/01/2017 6:00 AM,3.7,1.3,16.9,0.993
1/01/2017 7:00 AM,5.5,,17.3,0.993
1/01/2017 8:00 AM,1.1,,18.7,0.994
1/01/2017 9:00 AM,,,19.0,0.994
1/01/2017 10:00 AM,2.6,3.1,19.8,0.995
1/01/2017 11:00 AM,5.4,8.3,21.1,0.995
1/01/2017 12:00 PM,6.4,5.1,21.9,0.995
1/01/2017 1:00 PM,4.3,-0.2,21.3,0.995
1/01/2017 2:00 PM,4.8,0.3,21.5,0.995
1/01/2017 3:00 PM,4.8,5.3,21.3,0.995
1/01/2017 4:00 PM,8.2,,21.3,0.995
1/01/2017 5:00 PM,11.4,6.4,21.5,0.996
1/01/2017 6:00 PM,8.7,6.7,20.6,0.997
1/01/2017 7:00 PM,8.6,6.1,19.6,0.998
1/01/2017 8:00 PM,5.3,6.2,18.5,0.998
1/01/2017 9:00 PM,8.8,1.9,17.6,0.998
1/01/2017 10:00 PM,8.2,1.5,17.1,1.000
1/01/2017 11:00 PM,7.6,5.3,17.2,1.000
2/01/2017 12:00 AM,17.0,9.5,16.7,1.000
2/01/2017 1:00 AM,17.1,8.2,16.3,1.000
2/01/2017 2:00 AM,7.3,2.9,16.8,1.000
2/01/2017 3:00 AM,3.9,,16.8,1.000
2/01/2017 4:00 AM,10.2,3.9,16.8,1.000
2/01/2017 5:00 AM,13.7,7.7,16.6,1.001
2/01/2017 6:00 AM,5.8,,16.7,1.001
2/01/2017 7:00 AM,5.3,,17.1,1.002
2/01/2017 8:00 AM,8.4,,19.1,1.002
2/01/2017 9:00 AM,4.8,5.2,21.8,1.002
2/01/2017 10:00 AM,3.7,,24.4,1.002
2/01/2017 11:00 AM,9.6,6.1,26.1,1.002
2/01/2017 12:00 PM,6.4,3.0,26.8,1.002
